Mode,Indicator,Date,Current,Week Number,Year
Aviation,U.S. International Commercial Flights (Departures),12/05/2021 12:00:00 AM,3201,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/06/2021 12:00:00 AM,3010,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/07/2021 12:00:00 AM,2852,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/08/2021 12:00:00 AM,2925,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/09/2021 12:00:00 AM,3049,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/10/2021 12:00:00 AM,3015,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/11/2021 12:00:00 AM,3286,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/05/2021 12:00:00 AM,23888,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/06/2021 12:00:00 AM,23389,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/07/2021 12:00:00 AM,24165,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/08/2021 12:00:00 AM,25571,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/09/2021 12:00:00 AM,24616,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/10/2021 12:00:00 AM,19578,50,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/11/2021 12:00:00 AM,22262,50,2021
Aviation,U.S. International Commercial Flights (Departures),12/12/2021 12:00:00 AM,3242,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/13/2021 12:00:00 AM,3066,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/14/2021 12:00:00 AM,2928,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/15/2021 12:00:00 AM,3018,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/16/2021 12:00:00 AM,3289,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/17/2021 12:00:00 AM,3352,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/18/2021 12:00:00 AM,3695,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/12/2021 12:00:00 AM,23176,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/13/2021 12:00:00 AM,23706,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/14/2021 12:00:00 AM,23141,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/15/2021 12:00:00 AM,23514,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/16/2021 12:00:00 AM,25675,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/17/2021 12:00:00 AM,25939,51,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/18/2021 12:00:00 AM,22337,51,2021
Aviation,Persons Screened at All Airports,12/12/2021 12:00:00 AM,2046693,51,2021
Aviation,Persons Screened at All Airports,12/13/2021 12:00:00 AM,1858481,51,2021
Aviation,Persons Screened at All Airports,12/14/2021 12:00:00 AM,1534345,51,2021
Aviation,Persons Screened at All Airports,12/15/2021 12:00:00 AM,1713257,51,2021
Aviation,Persons Screened at All Airports,12/16/2021 12:00:00 AM,2073386,51,2021
Aviation,Persons Screened at All Airports,12/17/2021 12:00:00 AM,2147147,51,2021
Aviation,Persons Screened at All Airports,12/18/2021 12:00:00 AM,1939130,51,2021
Aviation,U.S. International Commercial Flights (Departures),12/19/2021 12:00:00 AM,3595,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/20/2021 12:00:00 AM,3427,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/21/2021 12:00:00 AM,3422,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/22/2021 12:00:00 AM,3465,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/23/2021 12:00:00 AM,3411,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/24/2021 12:00:00 AM,3155,52,2021
Aviation,U.S. International Commercial Flights (Departures),12/25/2021 12:00:00 AM,3311,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/19/2021 12:00:00 AM,23586,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/20/2021 12:00:00 AM,24692,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/21/2021 12:00:00 AM,25435,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/22/2021 12:00:00 AM,25955,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/23/2021 12:00:00 AM,25723,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/24/2021 12:00:00 AM,19480,52,2021
Aviation,U.S. Domestic Commercial Flights (Departures),12/25/2021 12:00:00 AM,16676,52,2021
Aviation,People Screened at All Airports,12/19/2021 12:00:00 AM,2122452,52,2021
Aviation,People Screened at All Airports,12/20/2021 12:00:00 AM,2036413,52,2021
Aviation,People Screened at All Airports,12/21/2021 12:00:00 AM,1934744,52,2021
Aviation,People Screened at All Airports,12/22/2021 12:00:00 AM,2044372,52,2021
Aviation,People Screened at All Airports,12/23/2021 12:00:00 AM,2133709,52,2021
Aviation,People Screened at All Airports,12/24/2021 12:00:00 AM,1635529,52,2021
