Mode,Week Number,Year,Count
TSA Screened Volume,1,2019,"49,300"
TSA Screened Volume,2,2019,"41,900"
TSA Screened Volume,3,2019,"44,700"
TSA Screened Volume,4,2019,"43,100"
TSA Screened Volume,5,2019,"42,300"
TSA Screened Volume,6,2019,"41,100"
TSA Screened Volume,7,2019,"46,700"
TSA Screened Volume,8,2019,"50,200"
TSA Screened Volume,9,2019,"46,000"
TSA Screened Volume,10,2019,"46,200"
TSA Screened Volume,11,2019,"48,600"
TSA Screened Volume,12,2019,"53,500"
TSA Screened Volume,13,2019,"56,000"
TSA Screened Volume,14,2019,"58,700"
TSA Screened Volume,15,2019,"52,400"
TSA Screened Volume,16,2019,"49,200"
TSA Screened Volume,17,2019,"53,300"
TSA Screened Volume,18,2019,"52,800"
TSA Screened Volume,19,2019,"53,200"
TSA Screened Volume,20,2019,"55,900"
TSA Screened Volume,21,2019,"57,800"
TSA Screened Volume,22,2019,"53,400"
TSA Screened Volume,23,2019,"55,100"
TSA Screened Volume,24,2019,"61,900"
TSA Screened Volume,25,2019,"69,000"
TSA Screened Volume,26,2019,"68,200"
TSA Screened Volume,27,2019,"62,800"
TSA Screened Volume,28,2019,"67,100"
TSA Screened Volume,29,2019,"66,400"
TSA Screened Volume,30,2019,"67,300"
TSA Screened Volume,31,2019,"68,500"
TSA Screened Volume,32,2019,"69,500"
TSA Screened Volume,33,2019,"70,300"
TSA Screened Volume,34,2019,"67,800"
TSA Screened Volume,35,2019,"64,600"
TSA Screened Volume,36,2019,"57,600"
TSA Screened Volume,37,2019,"59,300"
TSA Screened Volume,38,2019,"58,900"
TSA Screened Volume,39,2019,"58,400"
TSA Screened Volume,40,2019,"55,700"
TSA Screened Volume,41,2019,"55,000"
TSA Screened Volume,42,2019,"55,300"
TSA Screened Volume,43,2019,"55,400"
TSA Screened Volume,44,2019,"48,300"
TSA Screened Volume,45,2019,"52,600"
TSA Screened Volume,46,2019,"50,400"
TSA Screened Volume,47,2019,"49,100"
TSA Screened Volume,48,2019,"51,800"
TSA Screened Volume,49,2019,"53,700"
TSA Screened Volume,50,2019,"48,300"
TSA Screened Volume,51,2019,"55,900"
TSA Screened Volume,52,2019,"58,300"
TSA Screened Volume,1,2020,"49,300"
TSA Screened Volume,2,2020,"42,500"
TSA Screened Volume,3,2020,"44,500"
TSA Screened Volume,4,2020,"43,600"
TSA Screened Volume,5,2020,"41,500"
TSA Screened Volume,6,2020,"41,600"
